campaign_id,campaign,sent_date,mailbox,path,step_number,version,sent,delivered,opened,open_rate
1589950,Independent Nurture 6/8/26,2026-08-06,jkelly@hometownquotesb.com,,1,A,10,10,3,30.0
1589950,Independent Nurture 6/8/26,2026-08-06,jkelly@hometownquotesc.com,,1,A,10,10,2,20.0
1589950,Independent Nurture 6/8/26,2026-08-07,b.hubbard@hometownquotesb.com,,1,A,10,10,2,20.0
1589950,Independent Nurture 6/8/26,2026-08-07,billy.hubbard@hometownquoteshtq.com,,1,A,10,9,4,44.4
1589950,Independent Nurture 6/8/26,2026-08-10,b.hubbard@hometownquotesb.com,,1,A,10,10,0,0.0
1589950,Independent Nurture 6/8/26,2026-08-10,b.hubbard@hometownquotesb.com,,2,A,10,10,2,20.0
1589950,Independent Nurture 6/8/26,2026-08-10,billy.hubbard@hometownquoteshtq.com,,1,A,10,9,2,22.2
1589950,Independent Nurture 6/8/26,2026-08-10,billy.hubbard@hometownquoteshtq.com,,2,A,10,10,6,60.0
1589950,Independent Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesb.com,,1,A,10,9,2,22.2
1589950,Independent Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesb.com,,2,A,10,10,3,30.0
1589950,Independent Nurture 6/8/26,2026-08-11,billy.hubbard@hometownquoteshtq.com,,1,A,10,8,3,37.5
1589950,Independent Nurture 6/8/26,2026-08-11,billy.hubbard@hometownquoteshtq.com,,2,A,8,8,3,37.5
1589950,Independent Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesb.com,,1,A,9,9,0,0.0
1589950,Independent Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesb.com,,2,A,8,8,0,0.0
1589950,Independent Nurture 6/8/26,2026-08-12,billy.hubbard@hometownquoteshtq.com,,1,A,10,10,1,10.0
1589950,Independent Nurture 6/8/26,2026-08-12,billy.hubbard@hometownquoteshtq.com,,2,A,8,8,3,37.5
1589952,Farmers Nurture 6/8/26,2026-08-06,jkelly@hometownquotesa.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-06,jon.kelly@hometownquoteshtq.com,,1,A,9,9,8,88.9
1589952,Farmers Nurture 6/8/26,2026-08-07,b.hubbard@hometownquotesa.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-07,b.hubbard@hometownquotesd.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-10,b.hubbard@hometownquotesa.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-10,b.hubbard@hometownquotesd.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesa.com,,1,A,10,10,1,10.0
1589952,Farmers Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesa.com,,2,A,9,9,9,100.0
1589952,Farmers Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesd.com,,1,A,10,10,2,20.0
1589952,Farmers Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesd.com,,2,A,10,10,9,90.0
1589952,Farmers Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesa.com,,1,A,9,9,1,11.1
1589952,Farmers Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesa.com,,2,A,10,10,6,60.0
1589952,Farmers Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesd.com,,1,A,10,10,0,0.0
1589952,Farmers Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesd.com,,2,A,9,9,7,77.8
1589953,State Farm Nurture 6/8/26,2026-08-06,jkelly@hometownquotesd.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-06,jon.kelly@gethometownquoteshtq.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-07,b.hubbard@hometownquotesc.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-07,billy.hubbard@gethometownquoteshtq.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-10,b.hubbard@hometownquotesc.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-10,billy.hubbard@gethometownquoteshtq.com,,1,A,10,9,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesc.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-11,b.hubbard@hometownquotesc.com,,2,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-11,billy.hubbard@gethometownquoteshtq.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-11,billy.hubbard@gethometownquoteshtq.com,,2,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesc.com,,1,A,9,9,1,11.1
1589953,State Farm Nurture 6/8/26,2026-08-12,b.hubbard@hometownquotesc.com,,2,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-12,billy.hubbard@gethometownquoteshtq.com,,1,A,10,10,0,0.0
1589953,State Farm Nurture 6/8/26,2026-08-12,billy.hubbard@gethometownquoteshtq.com,,2,A,9,9,0,0.0
